estrategia_zeros,acuracia,acuracia_balanceada,f1_macro,kappa_vs_verdade,taxa_indeterminacao,acuracia_condicional_cobertura,precisao_normal,revocacao_normal,precisao_T,revocacao_T,precisao_D,revocacao_D
log1p,0.8902195608782435,0.9056682475056567,0.8712941460639992,0.7984402066253045,0.0,0.8902195608782435,0.9674935842600513,0.8733590733590734,0.7733333333333333,0.918552036199095,0.7967741935483871,0.9250936329588015
lod_metade,0.8912175648702595,0.9056838445470303,0.8757221620736658,0.7995006700567253,0.0,0.8912175648702595,0.9651360544217688,0.8764478764478765,0.7575187969924813,0.9117647058823529,0.8378378378378378,0.9288389513108615
original,0.875748502994012,0.8962264734901879,0.8533136963209702,0.7748983989689452,0.0,0.875748502994012,0.968365553602812,0.850965250965251,0.7606679035250464,0.9276018099547512,0.7431192660550459,0.9101123595505618
