predicao
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
T
T
indeterminado
indeterminado
indeterminado
D
indeterminado
indeterminado
indeterminado
D
indeterminado
T
T
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
T
indeterminado
T
indeterminado
indeterminado
indeterminado
indeterminado
D
D
D
indeterminado
D
D
D
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
D
D
D
indeterminado
indeterminado
T
T
T
T
T
indeterminado
indeterminado
T
T
T
T
T
T
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
D
T
T
T
T
T
indeterminado
indeterminado
indeterminado
indeterminado
T
T
T
indeterminado
D
T
T
T
T
T
T
T
D
T
indeterminado
T
T
indeterminado
T
T
D
indeterminado
indeterminado
T
T
T
indeterminado
D
D
indeterminado
T
indeterminado
indeterminado
T
indeterminado
T
normal
normal
normal
T
T
T
indeterminado
indeterminado
indeterminado
T
T
T
indeterminado
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
normal
indeterminado
normal
normal
T
T
T
T
T
T
T
T
T
T
T
T
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
T
T
T
T
T
T
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
T
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
T
indeterminado
T
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
normal
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
T
T
indeterminado
indeterminado
indeterminado
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
indeterminado
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
indeterminado
T
T
T
T
T
T
T
T
T
T
T
indeterminado
indeterminado
indeterminado
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
indeterminado
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
T
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
indeterminado
